256|1|4|??????#?#?#?? 2,2,6
#?.????.??#.??? 1,4,1,1,1
?.?????###??#?#???.? 8,6
????#???..#?###????# 2,4,10
?#??.##?????????.? 4,6,1,1,1
??#???#?????? 3,6,1
#???.?.???????????? 1,1,1,1,1,4
??????.???#? 1,1,4
.?#???###.. 2,4
??#???#???# 6,1,1
?????#??#??#??? 1,10,1
.??????????#??? 4,1,3
.??#??????? 2,2
??????#?.? 1,3,1
.????????#?#.?##??. 2,6,1,4
.????.#????##?..? 1,2,8,1
???????.#??#.??.### 6,4,1,3
.????##??????#? 1,8,1
?.?###?..?? 1,3,1
?????..?.?#. 4,1,2
???#???#.#????#?.? 8,6,1
?.?????????????? 6,5
..?.##???##?? 1,7
?#???????? 3,2,2
?????#??#???##?.?#?? 1,6,3,3
.??.????#?##???????? 2,1,10,2
.#??????#.? 3,4,1
?..?..????.?.#???? 3,1
??.?#?.??# 1,1,3
????.????#.??? 1,3
..???#???.? 5,1
??.#???.??#??#? 1,1,2,1,5
.??#????..???? 3,3
#?#?????#.????? 3,1,1,1,1
???#.???????#??? 2,3,5
#?.??.?????????? 2,1,1,4
?#???.????#?## 3,8
?.?#?#??..?? 5,1
.###?.???? 3,2
???##?#?#..?????## 8,1,5
??.?#???##?#?. 1,9
??????#?#.?#? 1,1,1,2
???##.??##?.??????#? 5,2,3,1,2
..??##?????. 4,2
?.?##?.#?????..????? 1,4,1,4,1,1
?????#.#??#####???# 4,12
????????#???#?##. 2,6,4
??##????##????? 2,4
???????.?#????#???? 6,6,1,1
.#?#??##??#.??? 1,2,5,3
???..????????##????? 2,3
??##?#.?.??# 5,1,1,1
???#???#?? 1,1,3
???#??###? 1,1,5
?.??????#?? 1,5
#.??##??..???? 1,5,1
????#?###??.? 7,1
?????#.?..? 4,1
#?.###?##? 2,6
?#???#???##??. 2,8,1
?#??#.#.???# 2,1,1,2
#????.#??.?.#?? 2,1,3,1,1
?.?????#?###?????? 1,9,3
###?#.??.?? 5,2,1
?#??..??#??.#???#?? 1,1,5,2,1,1
??.?.??#?#?#?##?? 1,1,11
.???#??.?##????.?? 1,3,4,1,1
????????.?#. 4,1
??###?#?#?????.??#. 13,1,1
???#?#?#??.?##??#??? 2,3,2,9
????????.?????#??? 1,6,1,6
???.??.??.?#?##?? 1,2,1,5,1
????????...?? 2,4,1
##????#?.?.# 4,1,1
?##??.???##??#???. 2,11
?.????#???#??? 7,2
#????##??#.#?##?## 1,1,5,4,2
?.????..?#???##??.?? 1,2,4,4,2
????#?????#?????#?# 11,1,3
??###???????. 5,1,1
#?????.???????.?? 1,1,6,1
?.#????????????#??#? 1,2,1,1,1,8
????#??.?????? 5,1,1
?#?#?.#???????? 4,1,1,3,1
#??#?...#? 1,2,1
??#.???????#?????# 1,1,7,1
??#???##?##.#??..? 1,6,2,1,1
?.????????????????#? 1,2,5,2,1
????.?#????? 1,3,1
?.????????#?? 5,1
#?????#???? 1,7
.??.???##?..? 1,4,1
..?##.?#????????? 2,10
??????????.###?# 1,6,3,1
??#?##?#????##??.#? 1,1,4,1,4,2
?###.??#??? 4,4
??????.?### 2,1,3
.?????...?#???? 5,3,1
?????.???? 1,2
????.?##.?? 3,2
???###??#?#?.???#?? 2,9,2
??????????#????#?.?# 6,1,1,1,1,1
?#??????????#?#?? 1,1,3,4
????#?????.??##..? 8,2
?#..?#?#.??#?.##? 1,4,2,2
#?#??.??#. 1,3,3
#..?.#?????.? 1,1,6,1
?##?.??.?.#??#?#?? 3,7
??#.????.???#????? 3,1,5,1
?#????#????#????..?. 1,4,7,1
????.????.? 1,2
???.????????.?#?.. 1,1,1,1,1,3
???#??..?#??? 3,1,5
???.?#??#??#.???? 1,1,8,1
.##?#.??.#??##.??.. 4,5,1
?####????..????. 9,2
##????#?#..????#?# 7,1,3,1,1
??????#??.? 1,4
?.?#..##??? 2,2,1
#?##???????#?# 4,2,1,1
??????????. 4,1,1
.???##??#?#?#.????# 1,10,1,1,1
??##??????##?.?? 4,6,2
?#???##?.?###?# 7,3,1
#??????.??? 5,1
#????..#???????.. 1,2,1,3,1
???#??.??????. 4,6
?.?##???#?#?????#? 1,3,7,1,1
##?#??.???? 4,1,2
?#??.?????? 1,5
?.??#..#?. 3,2
#.???#???.??#..? 1,4,2,1
#??#??#??????????? 8,4,1
?#?????#???..#. 9,1
???????..##??? 3,4
.???.#?##?#? 2,4,1
.?#??#????#?.. 2,4,1
?..#?????????##?? 1,2,9,1
?.#??#??#??#?#?? 1,9,1
?????.???#??????#?? 3,8,2
?.???#??#? 1,5
.??.??#?##.. 1,2,2
?????.???????? 2,6
.#?????#?#? 1,1,4
.?????????#..# 2,7,1
??#?.????#? 1,1,2
.??#??#??. 3,2
???#.????? 1,1,4
??.?????.?#.##??. 3,1,3
????????#?? 7,1
????.?.##?#?#?? 2,1,4,1,1
?#???#???###??#?.? 3,10
?.?????#???..#? 1,8,1
.??.????????? 2,1,2,1
#.?##???#??#.???? 1,6,2,1
???.?????#?????? 2,12
??????#?????. 1,5,1
??.??#?????.? 1,5,1
.?#??#??#?#.? 1,6
#?#?##.??#??.# 6,4,1
???.?##.?#?????.? 1,3,6,1
?????????##???? 4,3
.?.?##???? 1,3,1
.#????.??.?#?#.? 1,2,1,3
???#????????.?. 2,1
???#??.??#??##?.?? 2,1,1,2,2,1
#???#?????#??#?#. 2,3,9
#?#??????? 1,4,2
???.???...# 1,2,1
???.?..?#??#??? 1,4
?.#??.?..?.#? 2,1,1
#?#??..#?.??#???#?.? 1,1,1,2,6,1
?#??.????#?###.?# 4,1,1,5,1
??.???.?#???????. 1,1,1,6,1
?###..??#? 4,3
#.?????#?#???#? 1,12
?#..??#.????####?##? 2,3,3,4,3
#?##?#.??.?.# 6,1,1,1
?????...?.???? 3,1,2
???#?????.#?#?? 1,4,3,1
???..#???.????#? 3,4,2,1
??#??#.???????? 1,1,1,4
...###?.?? 3,2
?.???#?##??#.?#.?? 1,9,1
?????##???##????# 1,3,8
?.???????.????#?#??. 1,3,7
#??#?????#???.?# 5,3,1
????#????. 6,1
?##?.?????#??.##???. 4,1,5,4
?#??.???????.? 2,5
?.????..#??? 1,4,1,2
#?#.?????#??? 3,1,1,4
????.?#????.?.???? 2,1,2,1,1,3
??##.???#?????????? 4,1,1,2,2,1
?##?#?.?????. 5,2
???#?##??#???.#??? 11,1,2
??..#????#????##.?? 2,3,2,1,2,1
?????#?..????#.# 2,4,1,3,1
???.???#?.#????#?.# 1,4,1,1,1,1
#?#?###..????????.# 3,3,1,3,1
##?#?#???#??. 6,3
.???#?##?? 4,4
??????#?#.?#?? 1,3,1
#??##?????..?.???? 2,2,2,1,2
??.?.?????.?#? 1,1,5,1
??#???#?.??..#?? 1,1,4,1,1
?????????????#???? 1,1,10
?#?????.#???#??????? 5,1,7
?#??????.?#.?#? 8,2,2
#?.??#??#???#? 2,5,2
?#??#?..#??#? 5,5
?#??..?#???. 3,3
???#?##????????????# 6,1,1,7
.?#????#?##??#??# 13,1
??.??##???.???#???? 1,7,8
?#?#?#??#?#?#?## 5,8
???#??##?.??##?#.? 6,6
.??..?#????#??. 1,3,3
.???#.????#?? 2,1,1,4
??#??????##?.??#. 3,4,2
?????..#?# 1,2,3
.?#?.#????#?.???.?# 3,3,2,1,1,2
???.??????? 1,1,3
.?????.?#??# 1,1,5
???????##???#?? 3,1,4,1,1
?.?#?????#? 1,1,2
#??????.#??..?? 3,2,3,1
?.#?????????##?.???? 1,2,1,8,1
.??#??.??? 4,1
??#.?###???? 1,1,5,1
.????#?#?#?#??#?#?#? 2,7,3,1
?#???##?#???##???. 2,1,6,3,1
?#.?.#?#???????#?? 1,3,6
?#??.?.#??#??#?.#. 3,7,1
.???#??.??#???. 4,5
.##.??????#.?# 2,6,2
?#.???.???. 1,2,1
#??#???.?????????#?? 6,3,4
?#?#.?.?#? 3,1,2
